dwd_dsc_d365_contract_df.id,dwd_dsc_d365_contract_df.sfdhl_contract_customerlegalentity,dwd_dsc_d365_contract_df.sfdhl_scope_text,dwd_dsc_d365_contract_df.sfdhl_contract_term,dwd_dsc_d365_contract_df.sfdhl_contract_contracttype,dwd_dsc_d365_contract_df.sfdhl_contract_startdate,dwd_dsc_d365_contract_df.sfdhl_contract_nextendbreakdate,dwd_dsc_d365_contract_df.sfdhl_contract_countryareaname,dwd_dsc_d365_contract_df.sfdhl_contract_additionallocations,dwd_dsc_d365_contract_df.sfdhl_legal_contactname,dwd_dsc_d365_contract_df.sfdhl_finance_managername,dwd_dsc_d365_contract_df.sfdhl_operation_managername,dwd_dsc_d365_contract_df.sfdhl_contract_costcenter,dwd_dsc_d365_contract_df.sfdhl_other_deviations_from_commercialexpect,dwd_dsc_d365_contract_df.sfdhl_contract_anyliquidateddamagespenalty,dwd_dsc_d365_contract_df.sfdhl_contract_liabilitycap,dwd_dsc_d365_contract_df.sfdhl_contraact_earlyterminationresourceinvest,dwd_dsc_d365_contract_df.sfdhl_contract_contracttermrelated,dwd_dsc_d365_contract_df.sfdhl_contract_sfdscnoticeperioddays,dwd_dsc_d365_contract_df.sfdhl_contract_anyauditrightsfdsc,dwd_dsc_d365_contract_df.sfdhl_contract_diectlossotherthancaliabilitycap,dwd_dsc_d365_contract_df.sfdhl_contract_earlytermination,dwd_dsc_d365_contract_df.sfdhl_contract_anyreimbursementfromthecustomer,dwd_dsc_d365_contract_df.createdon,dwd_dsc_d365_contract_df.modifiedon
82245f1c-bec2-4be0-98f2-1d571e5c2480,上汽大众汽车有限公司,,36.0,264270000,2021-10-31T16:00:00Z,2024-10-30T16:00:00Z,Mainland China,,,,,,法务意见：,,,,,,,,,,,
针对客户提供的合同通用条款，法务提示以下主要风险：,,,,,,,,,,,,,,,,,,,,,,,,
1.责任条款：,,,,,,,,,,,,,,,,,,,,,,,,
--全额赔偿：SF DSC按实际损失进行赔偿，未设上限；无库存公差；,,,,,,,,,,,,,,,,,,,,,,,,
--未排除间接损失，且明确要求赔偿停产停线损失（对于生产件，停产停线损失按客户索赔单价标准进行赔偿，以每一自然年度内每个工厂各3500万元人民币为上限（存在故意或重大过失除外）；但对于非生产件，按实际损失进行赔偿）,,,,,,,,,,,,,,,,,,,,,,,,
--客户要求SFDSC对物品质量在入库时验收，换句话说我方可能需要对质量负责，但是作为物流供应商，实质上我方无法也没有能力作质量检测。,,,,,,,,,,,,,,,,,,,,,,,,
--违约金设置：合同中约定各种不同情形下适用的违约金，例如：SF DSC若违反保密义务的，需支付50万元/次的违约金。,,,,,,,,,,,,,,,,,,,,,,,,
2.	合同终止：,,,,,,,,,,,,,,,,,,,,,,,,
-- 对于无理由解约权，目前合同并未提及。,,,,,,,,,,,,,,,,,,,,,,,,
--缺乏双方对等的解约机制，仅约定了我方违约导致客户提前解约的情形并且设置了我方需支付的违约金。,,,,,,,,,,,,,,,,,,,,,,,,
3.	成本回收： 对于我方专项资源的投入（设施设备、人员等），合同提前终止/期满不续约的情形下客户是否给予补偿，目前合同中并未提及。,,,,,,,,,,,,,,,,,,,,,,,,
4.	分包：须经客户事先书面同意。,,,,,,,,,,,,,,,,,,,,,,,,
5. 其他：,,,,,,,,,,,,,,,,,,,,,,,,
1）合同期满前双方可就是否延期进行讨论。在客户提出要求的前提下，SFDSC应同意将本合同延期三个月。若双方不再续签合同，则延期期间价格条款仍遵照本合同之约定。,,,,,,,,,,,,,,,,,,,,,,,,
2）SFDSC同意允许客户在本合同有效期及终止后两年内在乙方处所查验双方与本合同直接相关的所有文件，包括双方交易期间的所有记录、文件、会计程序和实务。,,,,,,,,,,,,,,,,,,,,,,,,
3）争议解决方式，客户坚持选择仲裁（提交上海仲裁委员会进行仲裁）。,,,,,,,,,,,,,,,,,,,,,,,,
风控意见：,,,,,,,,,,,,,,,,,,,,,,,,
1.赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
"对于由于我方责任导致的客户生产停线，合同仅约定了按客户索赔单价标准（按人员费用、能源费用和管理费用等核算）赔偿，即SF DSC须对客户的直接和间接损失承担无限赔偿责任；而SF DSC的物流责任保险仅能赔偿客户的直接损失，且最多只能承担到每次事故及累计CNY 11,000,000。",,,,,,,,,,,,,,,,,,,,,,,,
2.不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a） SF DSC的物流责任保险不赔偿间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
b） SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
c） SF DSC没有保险可以赔偿违反保密义务的责任。,,,,,,,,,,,,,,,,,,,,,,,,
,是的，例如：0.5 million penalty per occurrence for breach of confidentiality ,无赔偿上限,,,,,,合同未提及,silent in the contract,2021-11-01T01:37:45.0000000+00:00,2021-11-01T05:50:05Z,,,,,,,,,,,,,
40ef4443-0438-46a4-a9cb-d94d8f92877f,"Fortune Global Logistic Management (HK) Co., Limited","Value-added service,Warehousing",23.53,264270000,2021-09-15T00:00:00Z,2023-08-31T00:00:00Z,Hongkong,,,,,,,No,N/A for SFSC excludes all liability whatsoever and howsoever caused.,,,,,,Not allowed. Both parties can only terminate with cause immediately by giving written notice to the other party.,"yes, Customer shall promptly pay Supplier the amounts owed to Supplier hereunder until the date of such expiry or termination; andCustomer shall bear and be responsible for compensation due to Supplier which includes lease commitment costs, Facility reinstatement and dismantling costs and where termination is due to early termination by Supplier with cause, profits which Supplier could have earned for the remaining term of the contract but for such termination.",2021-11-01T02:24:55.0000000+00:00,2021-11-01T02:32:02Z
9cb38485-3695-4be8-bfc4-98270cc033c3,Blossom Trading Limited,"Value-added service,Warehousing",4.53,264270000,2021-09-15T00:00:00Z,2022-01-31T00:00:00Z,Hongkong,,,,,,not aware of,No,N/A for SFSC excludes all liability whatsoever and howsoever caused.,,,,,,Not allowed. Both parties can only terminate with cause immediately by giving written notice to the other party.,"yes, ",,
Customer shall promptly pay Supplier the amounts owed to Supplier hereunder until the date of such expiry or termination; and,,,,,,,,,,,,,,,,,,,,,,,,
"Customer shall bear and be responsible for compensation due to Supplier which includes lease commitment costs, Facility reinstatement and dismantling costs and where termination is due to early termination by Supplier with cause, profits which Supplier could have earned for the remaining term of the contract but for such termination.",,,,,,,,,,,,,,,,,,,,,,,,
,2021-11-01T02:33:48.0000000+00:00,2021-11-01T06:25:55Z,,,,,,,,,,,,,,,,,,,,,,
3c6fb1aa-7405-47b0-81ea-a9e41bd53d9d,上海千禧人家食品有限公司,"Value-added service,Warehousing",36.0,264270000,2021-11-01T00:00:00Z,2024-10-31T00:00:00Z,Mainland China,,,,,,legal concerns：,,,,,,,,,,,
