dwd_dsc_d365_opportunity_df.opportunity_number,dwd_dsc_d365_opportunity_df.opportunity_name,dwd_dsc_d365_opportunity_df.account_id,dwd_dsc_d365_opportunity_df.account_name_en,dwd_dsc_d365_opportunity_df.account_name_cn,dwd_dsc_d365_opportunity_df.actual_close_date,dwd_dsc_d365_opportunity_df.annual_average_gross_profit_base,dwd_dsc_d365_opportunity_df.annual_average_gross_profit,dwd_dsc_d365_opportunity_df.annual_average_revenue_base,dwd_dsc_d365_opportunity_df.annual_average_revenue,dwd_dsc_d365_opportunity_df.bca_ref_number,dwd_dsc_d365_opportunity_df.bca_status,dwd_dsc_d365_opportunity_df.bg,dwd_dsc_d365_opportunity_df.commission,dwd_dsc_d365_opportunity_df.contract_end_date,dwd_dsc_d365_opportunity_df.contract_renewal_date,dwd_dsc_d365_opportunity_df.contract_termin_month,dwd_dsc_d365_opportunity_df.contract_term,dwd_dsc_d365_opportunity_df.expected_gain_date,dwd_dsc_d365_opportunity_df.expected_golive_date,dwd_dsc_d365_opportunity_df.gp_prior_year_total,dwd_dsc_d365_opportunity_df.is_proj_mgmt_required,dwd_dsc_d365_opportunity_df.milestone,dwd_dsc_d365_opportunity_df.next_renewal_date,dwd_dsc_d365_opportunity_df.operating_golive_date,dwd_dsc_d365_opportunity_df.opportunity_category,dwd_dsc_d365_opportunity_df.opportunity_creator,dwd_dsc_d365_opportunity_df.opportunity_record,dwd_dsc_d365_opportunity_df.reference_number,dwd_dsc_d365_opportunity_df.opportunity_type,dwd_dsc_d365_opportunity_df.pm_name,dwd_dsc_d365_opportunity_df.product1,dwd_dsc_d365_opportunity_df.product2,dwd_dsc_d365_opportunity_df.product3,dwd_dsc_d365_opportunity_df.product4,dwd_dsc_d365_opportunity_df.cancel_reason,dwd_dsc_d365_opportunity_df.loss_reason,dwd_dsc_d365_opportunity_df.revenue_prior_year_total,dwd_dsc_d365_opportunity_df.salesperson1_pct,dwd_dsc_d365_opportunity_df.salesperson2_pct,dwd_dsc_d365_opportunity_df.salesperson3_pct,dwd_dsc_d365_opportunity_df.salesperson4_pct,dwd_dsc_d365_opportunity_df.salesperson5_pct,dwd_dsc_d365_opportunity_df.salesperson6_pct,dwd_dsc_d365_opportunity_df.salesperson1,dwd_dsc_d365_opportunity_df.salesperson2,dwd_dsc_d365_opportunity_df.salesperson3,dwd_dsc_d365_opportunity_df.salesperson4,dwd_dsc_d365_opportunity_df.salesperson5,dwd_dsc_d365_opportunity_df.salesperson6,dwd_dsc_d365_opportunity_df.sector,dwd_dsc_d365_opportunity_df.subsector,dwd_dsc_d365_opportunity_df.situation_update_next_steps,dwd_dsc_d365_opportunity_df.situation_updated_time,dwd_dsc_d365_opportunity_df.strategic_project,dwd_dsc_d365_opportunity_df.terminate_effective_date,dwd_dsc_d365_opportunity_df.territory,dwd_dsc_d365_opportunity_df.contract_value,dwd_dsc_d365_opportunity_df.currency,dwd_dsc_d365_opportunity_df.description,dwd_dsc_d365_opportunity_df.createdon,dwd_dsc_d365_opportunity_df.modifiedon,dwd_dsc_d365_opportunity_df.bca_approval_date,dwd_dsc_d365_opportunity_df.src_inc_day,dwd_dsc_d365_opportunity_df.contract_signing_approvedon,dwd_dsc_d365_opportunity_df.compliance,dwd_dsc_d365_opportunity_df.non_compliance_reason,dwd_dsc_d365_opportunity_df.fivem_customer
Z004029,Renewal of J&J Medical VAS WH -C1102535,68a07a17-44f9-49f0-ba81-b02470f65776,JOHNSON & JOHNSON,强生,2020-02-28T00:00:00,636.0,636.0,8074.0,8074.0,N190033,Approved,LSHC,FALSE,2022-07-30T16:00:00Z,2022-07-31T16:00:00Z,36.0,36.0,2019-07-30T16:00:00Z,2019-07-31T16:00:00Z,,False,Contract Signed,2022-07-31T16:00:00Z,2019-07-31T16:00:00Z,,Jasmine Tan2,Straightforward Renewals,295406,Renewal,,Value-added service,,,,,,,100.0,,,,,,Jasmine Tan2 (SF-DHL CN),,,,,,Life Sciences & Healthcare,,Customer has confirmed this renewal,2019-09-08T16:00:00Z,,,China,8704.0,CNY,This is renewal opportunity of VAS warehouse,2020-01-12T09:53:29.0000000+00:00,2021-08-22T04:07:50Z,2019-09-03T09:09:06Z,20211017.0,2020-02-28T00:59:00Z,N,"1,2",5M
Z004187,Luckin Coffee Logistics Finance 2019-2020,36a8496a-030a-41fe-a867-3eadddf62be2,Luckin,瑞幸咖啡,2019-12-01T00:00:00,983.0,983.0,14007.0,14007.0,N190080,Approved,CR,FALSE,2020-08-30T16:00:00Z,2020-08-31T16:00:00Z,12.0,12.0,2020-02-28T00:00:00Z,2019-08-31T16:00:00Z,,False,Contract Signed,2019-08-31T16:00:00Z,2019-08-31T16:00:00Z,,Rick Gong,New Business,294784,New from Existing,,Warehousing,Transportation,,,,,,50.0,50.0,,,,,Rick Gong,Amy Yuan (SF-DHL CN),,,,,Consumer,,"Agent purchase agreement has been signed, the supplementary agreements for logistic service are waiting for stamp",2019-09-25T16:00:00Z,,,China,14007.0,CNY,"Luckin will entrust DSC to order coffee machines, the service include ocean shipping,customs clearance, warehousing and financial service.",2020-01-12T09:56:42.0000000+00:00,2021-08-22T04:09:56Z,2019-09-19T10:47:49Z,20211017.0,2020-02-28T09:37:00Z,N,"1,2",5M
Z008673,Harley-Davidson COC & MEP Certificates Production,0cdf3b10-9298-431f-8827-d9301ff3198a,Harley-Davidson,哈雷·戴维森,2021-01-27T00:00:00,406.92,406.92,475.42,475.42,N200616,Approved,Auto,TRUE,2023-09-29T16:00:00Z,2023-09-30T16:00:00Z,,36.0,2021-03-30T16:00:00Z,2020-09-30T16:00:00Z,,False,Contract Signed,2020-09-30T16:00:00Z,,430000.0,Winnie Zhang,New Business,,New from Existing,,Value-added service,,,,,,,100.0,,,,,,Winnie Zhang2 (SF-DHL CN),,,,,,Automotive,,O2D completed. Waiting for CCM to approve contract-signed in D365 system.,2021-01-27T00:07:04Z,False,,China,1426.26,CNY,,2020-09-25T02:26:31.0000000+00:00,2021-09-06T01:22:03Z,2020-12-04T14:35:41Z,20211017.0,2021-01-27T10:44:20Z,Y,,5M
Z009221,Renew_欧克咖啡纸箱销售,9a5a7474-593a-ea11-a812-000d3a85408a,Oak Coffee & Tea,欧克咖啡,,2.42,2.42,27.12,27.12,,,CR,FALSE,,,,,,2021-07-30T00:00:00Z,,False,Potential Opportunity,,,,Rick Gong,Change Renewals,,Renewal,,Value-added service,,,,,,,,,,,,,,,,,,,Retail,,,,,,China,27.12,CNY,,2021-02-04T10:32:00.0000000+00:00,2021-02-04T10:32:06Z,,20211017.0,,Y,,Not 5M
Z009442,Renew_Agfa Hong Kong Limited Contract Renewal,7b31083c-8afb-41ff-bf6d-4588b3f90dbc,Agfa,爱克发·吉华,,176.8,221.0,577.136,721.42,,,HK,FALSE,,,,,,2022-04-01T00:00:00Z,,False,Potential Opportunity,,,,Thomas Pong,Change Renewals,,Renewal,,Transportation,Warehousing,,,,,,,,,,,,,,,,,,Life Sciences & Healthcare,,,,False,,Hongkong,721.42,HKD,,2021-03-30T16:31:33.0000000+00:00,2021-03-30T16:31:51Z,,20211017.0,,Y,,Not 5M
Z005228,BMW China Service Tire Racking,1f5418df-db57-40c9-833d-fea8c813fb25,BMW Automotive,宝马中国,2019-12-01T00:00:00,24.93,24.93,401.62,401.62,N190216,Approved,Auto,FALSE,2021-02-27T16:00:00Z,2021-02-28T16:00:00Z,18.0,18.0,2019-10-01T00:00:00Z,2019-08-31T16:00:00Z,,False,Contract Signed,2021-02-28T16:00:00Z,,,Beng Fan,New Business,,New from Existing,,Value-added service,,,,,,,100.0,,,,,,Penny Zheng (SF-DHL CN),,,,,,Automotive,,,,,,China,602.43,CNY,,2020-02-17T06:23:58.0000000+00:00,2021-08-22T04:21:59Z,2020-01-02T09:41:45Z,20211017.0,2020-02-21T11:31:00Z,Y,,5M
Z010077,Renew_CR Care  VAS & Transport,97d9dd57-64bc-eb11-bacc-000d3a80ae42,CR Care,華潤堂,,12.568000000000001,15.71,121.71199999999999,152.14,,,HK,FALSE,,,,,,2022-07-16T00:00:00Z,,False,Potential Opportunity,,,,AngelYY NG,Change Renewals,,Renewal,,Value-added service,Transportation,,,,,,,,,,,,,,,,,,Retail,,,,False,,Hongkong,152.14,HKD,,2021-08-30T05:32:24.0000000+00:00,2021-08-30T05:32:39Z,,20211017.0,,Y,,Not 5M
Z009994,Renew_GEOX Contract Renewal,5a5c1925-fd3d-44a9-8fb3-e84feb79af81,Geox,健乐士,,14.88,14.88,293.88,293.88,,,HK,FALSE,,,,,,2022-03-01T00:00:00Z,,False,Potential Opportunity,,,,William Tsao,Change Renewals,,Renewal,,Transportation,,,,,,,,,,,,,,,,,,,Retail,,,,False,,Hongkong,293.88,CNY,,2021-08-05T09:31:14.0000000+00:00,2021-08-05T09:31:31Z,,20211017.0,,Y,,Not 5M
Z001039,Renewal of Warehouse Service Aggre - C1107297,77c02b33-6f25-493e-b531-dc883e33facf,Olympus Lifescience,奥林巴斯 生命科学,2019-03-31T00:00:00,42.47,42.47,363.87,363.87,BCA-290651,Fully Approved,LSHC,FALSE,2019-04-21T16:00:00Z,2019-04-22T16:00:00Z,12.0,12.0,2019-03-30T16:00:00Z,2018-04-22T16:00:00Z,4428.0,False,Contract Signed,2019-04-22T16:00:00Z,2019-03-31T16:00:00Z,,Xiaoyu Xu,Straightforward Renewals,290651,Renewal,,Warehousing,,,,,,26334.0,100.0,,,,,,,,,,,,Life Sciences & Healthcare,,contract is auto-renewed,2020-01-11T23:42:14Z,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T07:42:14.0000000+00:00,2021-09-24T02:04:04Z,,20211017.0,,Y,,Not 5M
Z006865,Renew_Domestics Transportation Service Agreement ,0887a4c1-79a5-45f7-82ca-9b3360ea6683,Deckers Outdoor Corporation,德克斯户外,,0.0,0.0,0.0,0.0,,,EI,FALSE,,,,,,2019-02-27T16:00:00Z,,False,Potential Opportunity,,,,Larry xue,Change Renewals,,Renewal,,Transportation,,,,,,,,,,,,,,,,,,,Retail,,,,,,China,0.0,CNY,,2020-05-15T01:30:50.0000000+00:00,2020-10-13T05:54:08Z,,20211017.0,,Y,,Not 5M
