account_name_en,account_name_cn_x,year,cost_center_x,income_amt,gross_profit_amt,human_cost_amt,service_outsourcing_amt,labor_service_outsourcing_amt,account_name_cn_y,cost_center_y,人力,场地,增值,报关代理,操作,短驳运输,索赔及返利,设备使用,bms_total,operation_fee,op_pct,wh_pct,va_pct,type
ASML,阿斯麦,2020,"{'ASMLXXMXAS', 'ASMLXSHZCS', 'ASMLXGZGQS', 'ASMLXTJXQS', 'ASMLXNJLHS', 'ASMLXBJKCS', 'ASMLXXAEPS'}",44186486.9,7216033.920000004,8542221.21,136642.97999999998,249772.05,阿斯麦,"{'ASMLXXMXAS', 'ASMLXSHZCS', 'ASMLXGZGQS', 'ASMLXNJLHS', 'ASMLXBJKCS', 'ASMLXXAEPS'}",1327221.9555613413,2650782.827044025,277290.27301886794,830164.4298709695,351038.9069300234,39300.0,0.0,218274.78773584907,5694073.180161077,1678260.8624913646,0.29473819696217696,0.46553367741737356,0.048698052210671416,平衡型
ASML,阿斯麦,2021,"{'ASMLXXAEPS', 'ASMLXXMXAS', 'ASMLXSHZCS', 'ASMLXTJXQS', 'ASMLXNJLHS', 'ASMLXBJKCS', 'ASMLXGZGQS'}",42633588.839999996,7104758.35,8236202.57,100566.1,301232.33,阿斯麦,"{'ASMLXXAEPS', 'ASMLXXMXAS', 'ASMLXSHZCS', 'ASMLXTJXQS', 'ASMLXNJLHS', 'ASMLXBJKCS', 'ASMLXGZGQS'}",2027037.654610798,3116845.370236298,614587.5149056604,2113023.6078793877,180360.23113207548,1676826.288319633,0.0,274845.18164869724,10003525.84873255,2207397.8857428734,0.22066198649574656,0.3115746805043947,0.061437089702080276,平衡型
Abbott Nutrition,雅培 营养品,2020,"{'ABBOTSHTRT', 'ABBOTBJTRT', 'ABBOTSZTRT', 'ABBOTSHDBS', 'ABBOTCDXXS', 'ABBOTSHDBP', 'ABBOTSHKQP', 'ABBOTCDTRT', 'ABBOTSHKQS', 'ABBOTSZLHS', 'ABBOTBJXWS'}",51638291.91,712057.7999999948,5966229.56,4920662.600000001,1098956.93,雅培 营养品,"{'ABBOTSHDBS', 'ABBOTCDXXS', 'ABBOTSHDBP', 'ABBOTSHKQS', 'ABBOTSZLHS', 'ABBOTBJXWS', 'ABBOTSHKQP'}",397531.85220125783,8336764.339622642,943575.4000501648,0.0,2690077.004716981,0.0,0.0,484704.7358490566,12852653.332440102,3087608.856918239,0.2402312407450618,0.6486415002403157,0.0734148331588918,仓储型
Abbott Nutrition,雅培 营养品,2021,"{'ABBOTSHTRT', 'ABBOTBJTRT', 'ABBOTSZTRT', 'ABBOTSHDBS', 'ABBOTCDXXS', 'ABBOTSHDBP', 'ABBOTSHKQP', 'ABBOTCDTRT', 'ABBOTSHKQS', 'ABBOTSZLHS', 'ABBOTBJXWS'}",38711208.48,627034.4600000014,5199925.34,4399198.680000001,1007972.16,雅培 营养品,"{'ABBOTSHDBS', 'ABBOTCDXXS', 'ABBOTSHDBP', 'ABBOTSHKQS', 'ABBOTSZLHS', 'ABBOTBJXWS', 'ABBOTSHKQP'}",218379.57900943398,8562636.62990566,774162.9231439393,0.0,2257134.4753144654,0.0,0.0,601519.5037735848,12413833.111147083,2475514.0543238996,0.19941576724605678,0.6897657277361642,0.062362923378499,仓储型
Accuray,安科锐,2020,{'ACCURBJXWS'},419497.23,184901.7,150540.41,-7803.31,0.0,安科锐,{'ACCURBJXWS'},3100.0,69637.72133333333,93.0,0.0,15718.75,0.0,0.0,0.0,88549.47133333333,18818.75,0.21252244329228331,0.7864272963436552,0.0010502603640614996,仓储型
Accuray,安科锐,2021,"{'ACCURSHYXS', 'ACCURBJTDD', 'ACCURBJXWS'}",2512734.68,689949.5300000003,456215.98,27255.050000000003,13189.630000000001,安科锐,{'ACCURBJXWS'},12516.666666666666,118705.5,381.0,0.0,58046.03333333333,0.0,0.0,0.0,189649.19999999998,70562.7,0.37206958953689234,0.6259214381078329,0.002008972355274897,仓储型
Airbus Security System,空中客车 安保系统,2021,{'AIRBSBJXWS'},117119.73,24893.060000000005,15315.380000000001,16000.77,0.0,空中客车 安保系统,{'AIRBSBJXWS'},0.0,44960.33018867925,0.0,0.0,6530.691682389937,10012.603773584906,0.0,0.0,61503.625644654094,6530.691682389937,0.10618384873961631,0.7310191832989477,0.0,仓储型
Apex Tool,艾沛克斯工具,2020,{'ATGXXSHYSS'},2125397.29,515204.4500000004,175691.37,764.6799999999993,0.0,艾沛克斯工具,{'ATGXXSHYSS'},7223.899371069182,711380.485408805,46579.489463611855,12764.632377842283,25867.86835055406,17105.52780233603,0.0,0.0,820921.9027742184,33091.76772162324,0.04031049434762689,0.8665629251756717,0.05674046374716209,仓储型
Apex Tool,艾沛克斯工具,2021,{'ATGXXSHYSS'},5334451.31,885789.6799999999,286580.42,52126.829999999994,0.0,艾沛克斯工具,{'ATGXXSHYSS'},11500.943396226414,1959088.5182075473,184208.81056298455,21607.230621375482,82023.02429857878,28695.709686738286,0.0,0.0,2287124.2367734513,93523.9676948052,0.040891511790694696,0.8565728466816133,0.08054167220179353,仓储型
BOSE,博士,2020,"{'BOSEXSHKQS', 'BOSEXSHTRT'}",23383845.93,4456770.320000001,1615734.1,68855.02999999998,710750.88,博士,{'BOSEXSHKQS'},19830.05847076462,170426.6672349016,29568.637858627506,0.0,47221.85919775961,0.0,0.0,23409.225473755403,290456.44823580876,67051.91766852423,0.2308501604140244,0.5867546348860526,0.10180059020284526,仓储型
BOSE,博士,2021,"{'BOSEXSHKQS', 'BOSEXSHWHS', 'BOSEXSHTRT'}",21861839.88,3910161.1200000024,1499542.69,469344.94,747636.66,博士,{'BOSEXSHKQS'},42197.41897084048,214826.69467746562,39130.8939411846,0.0,20656.811320754718,0.0,0.0,41031.17954716981,357842.99845741526,62854.2302915952,0.17564750620396757,0.6003378453778266,0.10935212959278098,仓储型
BRISTOL-MYERS SQUIBB,百时美施贵宝,2020,"{'SQUIBSHTRD', 'SQUIBSHHTS'}",1849845.9300000002,261696.2300000001,373203.33999999997,3499.07,0.0,百时美施贵宝,{'SQUIBSHHTS'},0.0,782649.962264151,0.0,0.0,16981.132075471698,0.0,0.0,0.0,799631.0943396227,16981.132075471698,0.021236207790913394,0.9787637922090866,0.0,仓储型
BRISTOL-MYERS SQUIBB,百时美施贵宝,2021,"{'SQUIBSHTRD', 'SQUIBSHHTS'}",1517688.81,178361.7,346383.64,2491.63,0.0,百时美施贵宝,{'SQUIBSHHTS'},0.0,396348.1029874214,7613.072327044025,0.0,44319.24528301887,0.0,0.0,23456.96855345912,471737.3891509434,44319.24528301887,0.09394897733840193,0.8401880200778415,0.016138369571990923,仓储型
"Beijing Hangyu Kuaijie Freight Agency Co.,Ltd",北京航宇快捷货运代理有限公司,2021,{'VENCHSHKQS'},612476.97,32868.18000000005,83129.97,68798.64,7088.46,北京航宇快捷货运代理有限公司,{'VENCHSHKQS'},4956.405660377359,100880.03907232704,7000.0,0.0,29928.033018867925,0.0,0.0,0.0,142764.47775157233,34884.438679245286,0.24434956950529726,0.7066186257331509,0.0490318047615518,仓储型
Beijing Jingtongluyuan Computer Device,北京京通路远机房设备,2020,{'JTLYSBJXWS'},152833.33000000002,67984.66999999998,1528.33,0.0,0.0,北京京通路远机房设备,{'JTLYSBJXWS'},0.0,6220439.301886793,0.0,0.0,0.0,0.0,0.0,0.0,6220439.301886793,0.0,0.0,1.0,0.0,仓储型
